,日期,身分,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額口數,多空淨額契約金額,未平倉多方交易口數,未平倉多方契約金額,未平倉空方交易口數,未平倉空方契約金額,未平倉多空淨額口數,未平倉多空淨額契約金額
125,2015-11-26,外資,37910,64346178,33711,57221014,4199,7125164,37050,62949666,12917,21899889,24133,41049777
126,2015-11-27,自營商,18605,31399993,19581,33052999,-976,-1653006,4312,7198012,6215,10419020,-1903,-3221008
127,2015-11-27,投信,503,848239,464,781415,39,66824,2519,4226882,10716,17981446,-8197,-13754564
128,2015-11-27,外資,33889,57237540,37910,64027339,-4021,-6789799,34955,58624580,15701,26290107,19254,32334473
129,2015-11-30,自營商,30027,49607841,27342,45139978,2685,4467863,7779,12873098,7141,11841153,638,1031945
130,2015-11-30,投信,306,506271,609,1007686,-303,-501415,2440,4048936,10969,18201952,-8529,-14153016
131,2015-11-30,外資,45931,75848090,51221,84616070,-5290,-8767980,33988,56371368,19507,32314056,14481,24057312
132,2015-12-01,自營商,25745,43264902,26444,44446634,-699,-1181732,6433,10843492,6550,11068045,-117,-224553
133,2015-12-01,投信,668,1126504,383,645504,285,480999,2363,3996306,10579,17891200,-8216,-13894894
134,2015-12-01,外資,46724,78430257,38839,65204570,7885,13225688,38082,64371868,15409,26002505,22673,38369363
135,2015-12-02,自營商,24497,41467180,24450,41371751,47,95429,6669,11236938,6845,11562443,-176,-325505
136,2015-12-02,投信,346,585281,302,510855,44,74426,2307,3899753,10448,17661297,-8141,-13761544
137,2015-12-02,外資,38481,65116107,39378,66637257,-897,-1521150,38150,64457075,16417,27693693,21733,36763382
138,2015-12-03,自營商,21438,36176394,21180,35749065,258,427329,6727,11358846,6746,11416466,-19,-57620
139,2015-12-03,投信,450,759978,375,633005,75,126972,2301,3897894,10362,17553224,-8061,-13655330
140,2015-12-03,外資,36753,62060266,35834,60502644,919,1557622,40020,67757364,17415,29443056,22605,38314308
141,2015-12-04,自營商,20807,34839755,20769,34759230,38,80525,6665,11151867,6773,11360368,-108,-208501
142,2015-12-04,投信,334,559469,478,800710,-144,-241242,2216,3719778,10413,17479255,-8197,-13759477
143,2015-12-04,外資,38130,63838034,41212,69000537,-3082,-5162504,38310,64275007,18178,30455792,20132,33819215
144,2015-12-07,自營商,23475,39879466,24065,40873357,-590,-993891,6009,10142997,6647,11251423,-638,-1108426
145,2015-12-07,投信,646,1095879,369,626408,277,469471,2226,3770844,10154,17200838,-7928,-13429994
146,2015-12-07,外資,41276,70121722,40967,69568783,309,552938,39053,66122884,18852,31877160,20201,34245724
147,2015-12-08,自營商,27647,46280027,27169,45514643,478,765384,7406,12304805,7542,12558758,-136,-253953
148,2015-12-08,投信,395,659837,773,1290344,-378,-630507,2159,3597326,10469,17443397,-8310,-13846071
149,2015-12-08,外資,35452,59342954,43168,72255499,-7716,-12912545,36153,60207274,23976,39891738,12177,20315536
150,2015-12-09,自營商,29234,48288836,28784,47540734,450,748102,8563,14041545,7902,12978151,661,1063394
151,2015-12-09,投信,405,668493,693,1143188,-288,-474695,2033,3342222,10666,17534752,-8633,-14192530
152,2015-12-09,外資,40607,67067784,43022,71044513,-2415,-3976729,34369,56465468,24237,39786341,10132,16679127
153,2015-12-10,自營商,27322,44539737,25403,41398863,1919,3140874,9598,15678128,6869,11227885,2729,4450243
154,2015-12-10,投信,2305,3759934,2012,3276303,293,483632,2344,3838286,10699,17517188,-8355,-13678902
155,2015-12-10,外資,47824,77952704,47857,78018663,-33,-65959,37523,61392725,27072,44267301,10451,17125424
156,2015-12-11,自營商,24458,39783289,26297,42780412,-1839,-2997123,9849,15855507,8941,14408701,908,1446806
157,2015-12-11,投信,2507,4074887,2802,4548536,-295,-473649,2209,3565036,10838,17484360,-8629,-13919324
158,2015-12-11,外資,49873,81250961,45808,74638065,4065,6612895,41985,67704088,27686,44617941,14299,23086147
159,2015-12-14,自營商,26234,42057352,28687,45983224,-2453,-3925873,7597,12200346,9369,15069557,-1772,-2869211
160,2015-12-14,投信,4468,7180015,4264,6846740,204,333275,2176,3504992,10588,17046109,-8412,-13541117
161,2015-12-14,外資,59290,95058575,54814,87917415,4476,7141160,43151,69455755,23213,37333014,19938,32122741
162,2015-12-15,自營商,25015,40430100,23914,38642673,1101,1787428,8511,13669924,8964,14416727,-453,-746803
163,2015-12-15,投信,4819,7784189,4357,7029976,462,754214,2291,3685384,10231,16452203,-7940,-12766819
164,2015-12-15,外資,60164,97230772,62790,101503335,-2626,-4272564,47426,76294066,30226,48616080,17200,27677986
165,2015-12-16,自營商,32811,53530772,32310,52737069,501,793703,5283,8595986,5372,8760912,-89,-164926
166,2015-12-16,投信,1017,1658125,677,1102892,340,555233,2303,3762871,9944,16248496,-7641,-12485625
167,2015-12-16,外資,38801,63236093,38294,62414795,507,821298,34699,56661944,16020,26117863,18679,30544081
168,2015-12-17,自營商,19522,32174783,18615,30692757,907,1482026,6210,10248645,5373,8881801,837,1366844
169,2015-12-17,投信,933,1540820,289,476565,644,1064255,2712,4491912,9709,16081971,-6997,-11590059
170,2015-12-17,外資,36460,60090733,36404,59985306,56,105427,33953,56202316,14922,24656719,19031,31545597
171,2015-12-18,自營商,17687,29198412,18115,29894179,-428,-695767,6358,10424792,5986,9832575,372,592217
172,2015-12-18,投信,293,483851,198,327009,95,156841,2807,4619516,9683,15936262,-6876,-11316746
173,2015-12-18,外資,39082,64533299,41392,68350043,-2310,-3816744,32866,54051401,15861,26041960,17005,28009441
174,2015-12-21,自營商,21140,34728557,19670,32326018,1470,2402540,6898,11382361,5109,8436922,1789,2945439
175,2015-12-21,投信,172,283066,319,524455,-147,-241389,2731,4522171,9793,16217150,-7062,-11694979
176,2015-12-21,外資,36275,59552674,35651,58533266,624,1019408,34881,57716690,16366,27038701,18515,30677989
177,2015-12-22,自營商,15974,26377457,15488,25555511,486,821946,7931,13085707,5529,9108651,2402,3977056
178,2015-12-22,投信,297,490214,238,393224,59,96990,2736,4527612,9697,16048477,-6961,-11520865
179,2015-12-22,外資,30410,50184899,31391,51831104,-981,-1646205,33940,56099157,16585,27384832,17355,28714325
180,2015-12-23,自營商,20368,33856100,22167,36839819,-1799,-2983719,7098,11727375,6576,10859507,522,867868
181,2015-12-23,投信,409,679278,244,405412,165,273865,2752,4561294,9518,15776990,-6766,-11215696
182,2015-12-23,外資,33723,56048253,30080,49997967,3643,6050286,36155,59860343,15242,25202865,20913,34657478
183,2015-12-24,自營商,13892,23175907,15549,25924645,-1657,-2748738,6485,10748357,7654,12689862,-1169,-1941505
184,2015-12-24,投信,302,502871,309,515453,-7,-12582,2760,4590594,9536,15862150,-6776,-11271556
185,2015-12-24,外資,27740,46264199,25303,42203748,2437,4060451,37116,61666823,14292,23711506,22824,37955317
186,2015-12-25,自營商,8070,13461683,7781,12977247,289,484436,6519,10879730,7424,12392484,-905,-1512754
187,2015-12-25,投信,226,378035,71,118537,155,259499,2765,4630448,9395,15734710,-6630,-11104262
188,2015-12-25,外資,15282,25477711,13209,22029745,2073,3447966,37714,63091707,12783,21346678,24931,41745029
189,2015-12-28,自營商,7379,12352730,8630,14443019,-1251,-2090289,5681,9454584,7808,13004982,-2127,-3550398
190,2015-12-28,投信,184,307849,108,180734,76,127115,2825,4719682,9371,15657031,-6546,-10937349
191,2015-12-28,外資,18545,31043868,19268,32255809,-723,-1211941,36743,61320334,12610,21007840,24133,40312494
192,2015-12-29,自營商,15274,25343734,15211,25238319,63,105414,5841,9646390,7897,13051160,-2056,-3404770
193,2015-12-29,投信,249,413472,439,728010,-190,-314538,2773,4596244,9540,15813472,-6767,-11217228
194,2015-12-29,外資,25670,42606627,30301,50280702,-4631,-7674075,33661,55730571,14426,23852365,19235,31878206
195,2015-12-30,自營商,16080,26598918,15615,25825297,465,773620,6139,10103624,7696,12671528,-1557,-2567904
196,2015-12-30,投信,246,406153,428,707494,-182,-301340,2714,4482208,9680,15987456,-6966,-11505248
197,2015-12-30,外資,28100,46474032,30839,50998172,-2739,-4524140,31801,52456871,16209,26710349,15592,25746522
198,2015-12-31,自營商,12940,21409218,14329,23703144,-1389,-2293926,5018,8269003,7960,13132640,-2942,-4863637
199,2015-12-31,投信,305,505124,493,815279,-188,-310155,2451,4056140,9626,15931001,-7175,-11874861
200,2015-12-31,外資,24466,40477212,19983,33067695,4483,7409517,34551,57113159,14347,23683339,20204,33429820
201,2016-01-04,自營商,32291,52444607,30816,50103055,1475,2341551,7545,12144103,9021,14517027,-1476,-2372924
202,2016-01-04,投信,951,1540616,1343,2171534,-392,-630918,2508,4048977,10062,16244128,-7554,-12195151
203,2016-01-04,外資,56889,92407539,59043,95959230,-2154,-3551690,37169,59933087,19349,31174486,17820,28758601
204,2016-01-05,自營商,23477,37892320,25693,41464962,-2216,-3572642,6504,10401017,10199,16321155,-3695,-5920138
205,2016-01-05,投信,1039,1680436,1462,2358670,-423,-678233,2247,3606013,10243,16435458,-7996,-12829445
206,2016-01-05,外資,54965,88758571,49968,80699596,4997,8058975,38299,61387415,15467,24758860,22832,36628555
207,2016-01-06,自營商,37911,60392000,36420,58037321,1491,2354678,7477,11877348,9899,15726872,-2422,-3849524
208,2016-01-06,投信,1077,1715417,1555,2471871,-478,-756454,2100,3347356,10621,16924880,-8521,-13577524
209,2016-01-06,外資,57680,91928122,60306,96130790,-2626,-4202668,37669,59964874,17489,27812946,20180,32151928
210,2016-01-07,自營商,40035,62717817,38862,60912648,1173,1805169,7890,12271886,9182,14274325,-1292,-2002439
211,2016-01-07,投信,918,1433966,815,1275408,103,158558,2439,3806801,10869,16958762,-8430,-13151961
212,2016-01-07,外資,71647,112348114,73711,115567516,-2064,-3219401,37011,57674845,19130,29783271,17881,27891574
213,2016-01-08,自營商,29515,46191636,28366,44398565,1149,1793071,8689,13619799,8749,13695413,-60,-75614
214,2016-01-08,投信,1068,1675598,286,448386,782,1227212,2648,4164664,10270,16145578,-7622,-11980914
215,2016-01-08,外資,56275,88041688,57211,89553081,-936,-1511393,37318,58583972,20700,32471140,16618,26112832
216,2016-01-11,自營商,33728,52192543,34826,53874196,-1098,-1681653,8181,12609907,9324,14361121,-1143,-1751214
217,2016-01-11,投信,377,584237,282,436563,95,147674,2704,4184536,10220,15807469,-7516,-11622933
218,2016-01-11,外資,55573,86007331,52456,81183136,3117,4824195,40486,62530448,21207,32727571,19279,29802877
219,2016-01-12,自營商,27813,43044592,29760,46073185,-1947,-3028593,7533,11551617,10783,16539131,-3250,-4987514
220,2016-01-12,投信,578,893096,588,908905,-10,-15809,2603,4010675,10113,15574127,-7510,-11563452
221,2016-01-12,外資,50954,78859141,49406,76477908,1548,2381233,42822,65845953,21988,33780738,20834,32065215
222,2016-01-13,自營商,34708,54091268,33422,52066004,1286,2025264,8970,13943326,10914,16959551,-1944,-3016225
223,2016-01-13,投信,689,1073835,371,578227,318,495609,2645,4127574,9859,15378947,-7214,-11251373
224,2016-01-13,外資,53652,83606931,51048,79547088,2604,4059843,44399,69155631,21033,32721016,23366,36434615
225,2016-01-14,自營商,28494,43739480,32000,49097154,-3506,-5357674,8459,12989730,13702,21064725,-5243,-8074995
226,2016-01-14,投信,1449,2224884,1848,2841666,-399,-616782,2595,3998299,10204,15733340,-7609,-11735041
227,2016-01-14,外資,52091,79981589,51836,79585537,255,396052,46563,71692512,22915,35232516,23648,36459996
228,2016-01-15,自營商,32634,50349022,30237,46632033,2397,3716989,9453,14431660,12383,18909585,-2930,-4477925
229,2016-01-15,投信,2772,4281524,2660,4108933,112,172590,2693,4116484,10154,15551221,-7461,-11434737
230,2016-01-15,外資,60065,92619121,60578,93495983,-513,-876862,46445,71045069,23234,35487100,23211,35557969
231,2016-01-18,自營商,48588,74896255,46104,71065798,2484,3830457,10680,16617454,10670,16588636,10,28818
232,2016-01-18,投信,3680,5695913,3423,5275456,257,420457,2713,4226608,9915,15458389,-7202,-11231781
233,2016-01-18,外資,94318,145223057,93149,143579887,1169,1643170,50908,79311807,25800,40149205,25108,39162602
234,2016-01-19,自營商,34109,53189355,30010,46799716,4099,6389639,12751,19980106,8653,13525679,4098,6454427
235,2016-01-19,投信,3422,5339920,3015,4688674,407,651246,2971,4656394,9735,15255819,-6764,-10599425
236,2016-01-19,外資,69198,107800664,77133,120198822,-7935,-12398158,49044,76851215,32106,50297106,16938,26554109
237,2016-01-20,自營商,51596,79547910,53571,82602171,-1975,-3054262,4848,7305906,7437,11239252,-2589,-3933346
238,2016-01-20,投信,767,1174851,917,1404541,-150,-229690,3058,4644025,9925,15073810,-6867,-10429785
239,2016-01-20,外資,65375,100509781,65754,101156381,-379,-646599,36852,55878786,20380,30858609,16472,25020177
240,2016-01-21,自營商,26051,39872136,26776,40969429,-725,-1097293,4708,7105479,8025,12152978,-3317,-5047499
241,2016-01-21,投信,500,765026,613,936401,-113,-171375,2978,4533763,9975,15187593,-6997,-10653830
242,2016-01-21,外資,62550,95739822,57309,87722287,5241,8017534,40147,61017547,17318,26264088,22829,34753459
243,2016-01-22,自營商,22797,35078993,22530,34658198,267,420795,5040,7742924,8222,12676111,-3182,-4933187
244,2016-01-22,投信,557,860169,376,579418,181,280752,2932,4542442,9765,15131514,-6833,-10589072
245,2016-01-22,外資,53225,81867204,52028,80044300,1197,1822904,42547,65820498,18439,28468337,24108,37352161
246,2016-01-25,自營商,22729,35630226,21834,34222879,895,1407346,5103,7925979,7430,11574638,-2327,-3648659
247,2016-01-25,投信,807,1263617,319,500312,488,763305,2920,4574690,9249,14493043,-6329,-9918353
248,2016-01-25,外資,42696,66966105,42849,67203538,-153,-237432,43176,67544551,19106,29834211,24070,37710340
249,2016-01-26,自營商,20785,32315297,19686,30593191,1099,1722106,6064,9356764,7328,11321943,-1264,-1965179
250,2016-01-26,投信,386,600519,627,974679,-241,-374160,2988,4647054,9568,14883830,-6580,-10236776
